pathway	feature_ids
Cell cycle	FAR1
Cell cycle	SWM1
Cell cycle	MEC1
Cell cycle	MEC3
Cell cycle	RAD9
Cell cycle	PHO81
Cell cycle	HRT1
Cell cycle	PHO80
Cell cycle	SWE1
Cell cycle	PPH21
Cell cycle	PPH22
Cell cycle	TPD3
Cell cycle	CDC23
Cell cycle	DUN1
Cell cycle	CDC26
Cell cycle	CDH1
Cell cycle	CDC27
Cell cycle	CDC28
Cell cycle	DBF20
Cell cycle	PHO85
Cell cycle	TAH11
Cell cycle	GRR1
Cell cycle	FUS3
Cell cycle	MOB1
Cell cycle	NET1
Cell cycle	RAD17
Cell cycle	YCG1
Cell cycle	CAK1
Cell cycle	LCD1
Cell cycle	SMC1
Cell cycle	CLB6
Cell cycle	MPS1
Cell cycle	CLB5
Cell cycle	MET30
Cell cycle	SIC1
Cell cycle	CLB4
Cell cycle	YHP1
Cell cycle	TUP1
Cell cycle	CLB3
Cell cycle	CLB2
Cell cycle	CLB1
Cell cycle	SMC4
Cell cycle	SLK19
Cell cycle	BFA1
Cell cycle	SMC2
Cell cycle	SMC3
Cell cycle	MBP1
Cell cycle	PDS1
Cell cycle	CYC8
Cell cycle	SKP1
Cell cycle	MIH1
Cell cycle	MCD1
Cell cycle	APC11
Cell cycle	CDC7
Cell cycle	CDC6
Cell cycle	CDC5
Cell cycle	CDC4
Cell cycle	CDC55
Cell cycle	PCL1
Cell cycle	WHI5
Cell cycle	CHK1
Cell cycle	SCC2
Cell cycle	MCM4
Cell cycle	MCM5
Cell cycle	MCM6
Cell cycle	MCM7
Cell cycle	PCL2
Cell cycle	MCM1
Cell cycle	MCM2
Cell cycle	MCM3
Cell cycle	YOX1
Cell cycle	SWI5
Cell cycle	SWI4
Cell cycle	ORC6
Cell cycle	ORC5
Cell cycle	RAD24
Cell cycle	ORC2
Cell cycle	ORC1
Cell cycle	ORC4
Cell cycle	ORC3
Cell cycle	SWI6
Cell cycle	APC4
Cell cycle	APC1
Cell cycle	APC2
Cell cycle	YCS4
Cell cycle	RAD53
Cell cycle	DBF4
Cell cycle	DBF2
Cell cycle	CKS1
Cell cycle	SPO12
Cell cycle	SCC4
Cell cycle	KCC4
Cell cycle	HSL1
Cell cycle	CDC53
Cell cycle	CDC45
Cell cycle	DDC1
Cell cycle	CLN3
Cell cycle	TEM1
Cell cycle	CLN2
Cell cycle	CLN1
Cell cycle	HSL7
Cell cycle	MRC1
Cell cycle	FOB1
Cell cycle	PHO5
Cell cycle	PHO4
Cell cycle	APC9
Cell cycle	BUB3
Cell cycle	BUB2
Cell cycle	BUB1
Cell cycle	APC5
Cell cycle	PHO2
Cell cycle	DAM1
Citrate cycle (TCA cycle)	IDH1
Citrate cycle (TCA cycle)	MDH2
Citrate cycle (TCA cycle)	MDH3
Citrate cycle (TCA cycle)	SHH4
Citrate cycle (TCA cycle)	IDH2
Citrate cycle (TCA cycle)	PDA1
Citrate cycle (TCA cycle)	KGD2
Citrate cycle (TCA cycle)	KGD1
Citrate cycle (TCA cycle)	LAT1
Citrate cycle (TCA cycle)	PYC2
Citrate cycle (TCA cycle)	PYC1
Citrate cycle (TCA cycle)	FUM1
Citrate cycle (TCA cycle)	LSC2
Citrate cycle (TCA cycle)	IRC15
Citrate cycle (TCA cycle)	LSC1
Citrate cycle (TCA cycle)	ACO1
Citrate cycle (TCA cycle)	PDB1
Citrate cycle (TCA cycle)	LPD1
Citrate cycle (TCA cycle)	SHH3
Citrate cycle (TCA cycle)	IDP1
Citrate cycle (TCA cycle)	SDH4
Citrate cycle (TCA cycle)	MDH1
Citrate cycle (TCA cycle)	CIT3
Citrate cycle (TCA cycle)	SDH2
Citrate cycle (TCA cycle)	CIT2
Citrate cycle (TCA cycle)	PCK1
Citrate cycle (TCA cycle)	CIT1
Citrate cycle (TCA cycle)	SDH3
Citrate cycle (TCA cycle)	IDP2
Citrate cycle (TCA cycle)	SDH1
Citrate cycle (TCA cycle)	IDP3
Cyanoamino acid metabolism	ECM38
Cyanoamino acid metabolism	ASP3-2
Cyanoamino acid metabolism	ASP3-1
Cyanoamino acid metabolism	ASP3-4
Cyanoamino acid metabolism	ASP3-3
Cyanoamino acid metabolism	ASP1
Cyanoamino acid metabolism	SHM1
Cyanoamino acid metabolism	SHM2
Cysteine and methionine metabolism	AAT1
Cysteine and methionine metabolism	AAT2
Cysteine and methionine metabolism	TUM1
Cysteine and methionine metabolism	MDH2
Cysteine and methionine metabolism	MDH3
Cysteine and methionine metabolism	STR3
Cysteine and methionine metabolism	UTR4
Cysteine and methionine metabolism	STR2
Cysteine and methionine metabolism	ARO8
Cysteine and methionine metabolism	MCY1
Cysteine and methionine metabolism	CYS4
Cysteine and methionine metabolism	HOM2
Cysteine and methionine metabolism	CYS3
Cysteine and methionine metabolism	CHA1
Cysteine and methionine metabolism	HOM3
Cysteine and methionine metabolism	HOM6
Cysteine and methionine metabolism	SAM4
Cysteine and methionine metabolism	ADI1
Cysteine and methionine metabolism	GSH2
Cysteine and methionine metabolism	SAM2
Cysteine and methionine metabolism	GSH1
Cysteine and methionine metabolism	MEU1
Cysteine and methionine metabolism	SAM1
Cysteine and methionine metabolism	MET17
Cysteine and methionine metabolism	BAT2
Cysteine and methionine metabolism	BAT1
Cysteine and methionine metabolism	MDE1
Cysteine and methionine metabolism	MRI1
Cysteine and methionine metabolism	YKG9
Cysteine and methionine metabolism	SPE3
Cysteine and methionine metabolism	SPE4
Cysteine and methionine metabolism	SPE2
Cysteine and methionine metabolism	SAH1
Cysteine and methionine metabolism	MET2
Cysteine and methionine metabolism	MHT1
Cysteine and methionine metabolism	MDH1
Cysteine and methionine metabolism	MET6
Cysteine and methionine metabolism	IRC7
DNA replication	RFA2
DNA replication	RFC4
DNA replication	RFC5
DNA replication	RFC2
DNA replication	RFA1
DNA replication	DLS1
DNA replication	RFC3
DNA replication	RFC1
DNA replication	CDC9
DNA replication	PRI1
DNA replication	PRI2
DNA replication	MCM4
DNA replication	MCM5
DNA replication	MCM6
DNA replication	DNA2
DNA replication	MCM7
DNA replication	RNH201
DNA replication	MCM2
DNA replication	MCM3
DNA replication	POL3
DNA replication	POL12
DNA replication	POL2
DNA replication	RNH1
DNA replication	POL30
DNA replication	POL31
DNA replication	POL1
DNA replication	POL32
DNA replication	RAD27
DNA replication	DPB2
DNA replication	DPB3
DNA replication	DPB4
Endocytosis	IST1
Endocytosis	SSB2
Endocytosis	ARC35
Endocytosis	APM4
Endocytosis	CHC1
Endocytosis	LAS17
Endocytosis	YPT52
Endocytosis	VPS60
Endocytosis	VRP1
Endocytosis	VPS21
Endocytosis	VPS20
Endocytosis	STP22
Endocytosis	GCS1
Endocytosis	PEP8
Endocytosis	VPS25
Endocytosis	VPS24
Endocytosis	VPS27
Endocytosis	VPS29
Endocytosis	PEP7
Endocytosis	VPS28
Endocytosis	MSS4
Endocytosis	ARF2
Endocytosis	RSP5
Endocytosis	ARF3
Endocytosis	ARF1
Endocytosis	GLO3
Endocytosis	SSA1
Endocytosis	EDE1
Endocytosis	GEA1
Endocytosis	RVS167
Endocytosis	GEA2
Endocytosis	SNX4
Endocytosis	RHO1
Endocytosis	VPS4
Endocytosis	VPS5
Endocytosis	SNX3
Endocytosis	SSA4
Endocytosis	SSA2
Endocytosis	SSA3
Endocytosis	CAP2
Endocytosis	CAP1
Endocytosis	ARC18
Endocytosis	ARC19
Endocytosis	VTA1
Endocytosis	ENT1
Endocytosis	ENT2
Endocytosis	ENT3
Endocytosis	SNF8
Endocytosis	AGE2
Endocytosis	SNF7
Endocytosis	AGE1
Endocytosis	ARC15
Endocytosis	CDC42
Endocytosis	YPT32
Endocytosis	YPT31
Endocytosis	CHM7
Endocytosis	APS2
Endocytosis	HSE1
Endocytosis	SMY1
Endocytosis	VPS45
Endocytosis	MVB12
Endocytosis	DOA4
Endocytosis	SPO14
Endocytosis	SEC7
Endocytosis	SEC4
Endocytosis	APL3
Endocytosis	YPT7
Endocytosis	DID2
Endocytosis	DID4
Endocytosis	UBP5
Endocytosis	RIM20
Endocytosis	ARC40
Endocytosis	VPS36
Endocytosis	VPS35
Ether lipid metabolism	SPO14
Ether lipid metabolism	CPT1
Ether lipid metabolism	EPT1
Ether lipid metabolism	ALE1
Ether lipid metabolism	AYR1
Ether lipid metabolism	PAC1
Ether lipid metabolism	TGL4
Fatty acid biosynthesis	ACC1
Fatty acid biosynthesis	OAR1
Fatty acid biosynthesis	MCT1
Fatty acid biosynthesis	FAS1
Fatty acid biosynthesis	FAS2
Fatty acid biosynthesis	CEM1
Fatty acid biosynthesis	FAA1
Fatty acid biosynthesis	FAA2
Fatty acid biosynthesis	FAA3
Fatty acid biosynthesis	HFA1
Fatty acid biosynthesis	FAA4
Fatty acid degradation	ALD6
Fatty acid degradation	DIT2
Fatty acid degradation	SFA1
Fatty acid degradation	ALD4
Fatty acid degradation	ECI1
Fatty acid degradation	ALD5
Fatty acid degradation	ERG10
Fatty acid degradation	FAA1
Fatty acid degradation	FAA2
Fatty acid degradation	HFD1
Fatty acid degradation	FAA3
Fatty acid degradation	FAA4
Fatty acid degradation	ADH4
Fatty acid degradation	ADH5
Fatty acid degradation	POX1
Fatty acid degradation	ADH2
Fatty acid degradation	ADH3
Fatty acid degradation	ADH1
Fatty acid degradation	POT1
Fatty acid elongation	PHS1
Fatty acid elongation	TSC13
Fatty acid elongation	ELO1
Fatty acid elongation	TES1
Fatty acid elongation	ELO2
Fatty acid elongation	ELO3
Fatty acid elongation	ETR1
Fatty acid elongation	IFA38
Folate biosynthesis	RIB1
Folate biosynthesis	PHO8
Folate biosynthesis	ABZ2
Folate biosynthesis	ABZ1
Folate biosynthesis	FOL1
Folate biosynthesis	RMA1
Folate biosynthesis	FOL3
Folate biosynthesis	MET7
Folate biosynthesis	FOL2
Folate biosynthesis	DFR1
Fructose and mannose metabolism	TPI1
Fructose and mannose metabolism	GLK1
Fructose and mannose metabolism	FBA1
Fructose and mannose metabolism	PMI40
Fructose and mannose metabolism	FBP26
Fructose and mannose metabolism	PFK26
Fructose and mannose metabolism	EMI2
Fructose and mannose metabolism	PFK27
Fructose and mannose metabolism	HXK2
Fructose and mannose metabolism	MAN2
Fructose and mannose metabolism	HXK1
Fructose and mannose metabolism	PSA1
Fructose and mannose metabolism	PFK2
Fructose and mannose metabolism	DSF1
Fructose and mannose metabolism	DAK2
Fructose and mannose metabolism	FBP1
Fructose and mannose metabolism	SOR1
Fructose and mannose metabolism	SOR2
Fructose and mannose metabolism	DAK1
Fructose and mannose metabolism	PFK1
Fructose and mannose metabolism	SEC53
Galactose metabolism	GAL3
Galactose metabolism	MAL12
Galactose metabolism	PRM15
Galactose metabolism	GAL7
Galactose metabolism	GLK1
Galactose metabolism	MAL32
Galactose metabolism	EMI2
Galactose metabolism	IMA1
Galactose metabolism	IMA4
Galactose metabolism	HXK2
Galactose metabolism	IMA5
Galactose metabolism	UGP1
Galactose metabolism	IMA2
Galactose metabolism	GAL10
Galactose metabolism	HXK1
Galactose metabolism	IMA3
Galactose metabolism	SUC2
Galactose metabolism	PFK2
Galactose metabolism	PGM2
Galactose metabolism	PFK1
Galactose metabolism	GAL1
Galactose metabolism	PGM1
Glutathione metabolism	GPX1
Glutathione metabolism	GLR1
Glutathione metabolism	GPX2
Glutathione metabolism	GTT1
Glutathione metabolism	OXP1
Glutathione metabolism	GND1
Glutathione metabolism	GSH2
Glutathione metabolism	GSH1
Glutathione metabolism	GND2
Glutathione metabolism	ECM38
Glutathione metabolism	DUG1
Glutathione metabolism	RNR3
Glutathione metabolism	RNR4
Glutathione metabolism	RNR1
Glutathione metabolism	RNR2
Glutathione metabolism	GCG1
Glutathione metabolism	SPE3
Glutathione metabolism	HYR1
Glutathione metabolism	ZWF1
Glutathione metabolism	SPE4
Glutathione metabolism	SPE1
Glutathione metabolism	URE2
Glutathione metabolism	IDP1
Glutathione metabolism	IDP2
Glutathione metabolism	IDP3
Glycerolipid metabolism	LRO1
Glycerolipid metabolism	YJU3
Glycerolipid metabolism	GPT2
Glycerolipid metabolism	ALE1
Glycerolipid metabolism	GPP1
Glycerolipid metabolism	GUT1
Glycerolipid metabolism	GPP2
Glycerolipid metabolism	ATG15
Glycerolipid metabolism	LOA1
Glycerolipid metabolism	GCY1
Glycerolipid metabolism	PAH1
Glycerolipid metabolism	TGL4
Glycerolipid metabolism	TGL3
Glycerolipid metabolism	TGL2
Glycerolipid metabolism	SLC1
Glycerolipid metabolism	ALD6
Glycerolipid metabolism	ALD4
Glycerolipid metabolism	ALD5
Glycerolipid metabolism	LPP1
Glycerolipid metabolism	SCT1
Glycerolipid metabolism	HFD1
Glycerolipid metabolism	DPP1
Glycerolipid metabolism	DGA1
Glycerolipid metabolism	ADH6
Glycerolipid metabolism	ADH7
Glycerolipid metabolism	TDA10
Glycerolipid metabolism	DAK2
Glycerolipid metabolism	DAK1
Glycerophospholipid metabolism	GEP4
Glycerophospholipid metabolism	PGC1
Glycerophospholipid metabolism	TAZ1
Glycerophospholipid metabolism	GPT2
Glycerophospholipid metabolism	EPT1
Glycerophospholipid metabolism	ALE1
Glycerophospholipid metabolism	GUT2
Glycerophospholipid metabolism	PCT1
Glycerophospholipid metabolism	CKI1
Glycerophospholipid metabolism	LOA1
Glycerophospholipid metabolism	GPD1
Glycerophospholipid metabolism	NTE1
Glycerophospholipid metabolism	GPD2
Glycerophospholipid metabolism	CHO2
Glycerophospholipid metabolism	CHO1
Glycerophospholipid metabolism	PAH1
Glycerophospholipid metabolism	TGL4
Glycerophospholipid metabolism	SLC1
Glycerophospholipid metabolism	CDS1
Glycerophospholipid metabolism	SPO14
Glycerophospholipid metabolism	CRD1
Glycerophospholipid metabolism	LPP1
Glycerophospholipid metabolism	AYR1
Glycerophospholipid metabolism	PLB3
Glycerophospholipid metabolism	GDE1
Glycerophospholipid metabolism	SCT1
Glycerophospholipid metabolism	CLD1
Glycerophospholipid metabolism	PSD1
Glycerophospholipid metabolism	DPP1
Glycerophospholipid metabolism	EKI1
Glycerophospholipid metabolism	PLB2
Glycerophospholipid metabolism	OPI3
Glycerophospholipid metabolism	PLB1
Glycerophospholipid metabolism	PGS1
Glycerophospholipid metabolism	PIS1
Glycerophospholipid metabolism	PSD2
Glycerophospholipid metabolism	CPT1
Glycerophospholipid metabolism	DGK1
Glycerophospholipid metabolism	ECT1
Glycine, serine and threonine metabolism	AGX1
Glycine, serine and threonine metabolism	HEM1
Glycine, serine and threonine metabolism	CYS4
Glycine, serine and threonine metabolism	HOM2
Glycine, serine and threonine metabolism	CYS3
Glycine, serine and threonine metabolism	CHA1
Glycine, serine and threonine metabolism	SER33
Glycine, serine and threonine metabolism	HOM3
Glycine, serine and threonine metabolism	HOM6
Glycine, serine and threonine metabolism	THR4
Glycine, serine and threonine metabolism	THR1
Glycine, serine and threonine metabolism	IRC15
Glycine, serine and threonine metabolism	CHO1
Glycine, serine and threonine metabolism	GLY1
Glycine, serine and threonine metabolism	SHM1
Glycine, serine and threonine metabolism	SHM2
Glycine, serine and threonine metabolism	TRP5
Glycine, serine and threonine metabolism	GPM2
Glycine, serine and threonine metabolism	GPM1
Glycine, serine and threonine metabolism	GPM3
Glycine, serine and threonine metabolism	TDA10
Glycine, serine and threonine metabolism	LPD1
Glycine, serine and threonine metabolism	SER3
Glycine, serine and threonine metabolism	SER1
Glycine, serine and threonine metabolism	GCV2
Glycine, serine and threonine metabolism	SER2
Glycine, serine and threonine metabolism	GCV1
Glycine, serine and threonine metabolism	GCV3
Glycine, serine and threonine metabolism	DSD1
Glycine, serine and threonine metabolism	ILV1
Glycolysis / Gluconeogenesis	PRM15
Glycolysis / Gluconeogenesis	TPI1
Glycolysis / Gluconeogenesis	PDA1
Glycolysis / Gluconeogenesis	PYK2
Glycolysis / Gluconeogenesis	ERR1
Glycolysis / Gluconeogenesis	ERR2
Glycolysis / Gluconeogenesis	ERR3
Glycolysis / Gluconeogenesis	LAT1
Glycolysis / Gluconeogenesis	CDC19
Glycolysis / Gluconeogenesis	FBP1
Glycolysis / Gluconeogenesis	ACS2
Glycolysis / Gluconeogenesis	GLK1
Glycolysis / Gluconeogenesis	HFD1
Glycolysis / Gluconeogenesis	LPD1
Glycolysis / Gluconeogenesis	PGK1
Glycolysis / Gluconeogenesis	THI3
Glycolysis / Gluconeogenesis	PCK1
Glycolysis / Gluconeogenesis	PDC5
Glycolysis / Gluconeogenesis	PDC6
Glycolysis / Gluconeogenesis	PDC1
Glycolysis / Gluconeogenesis	FBA1
Glycolysis / Gluconeogenesis	HXK2
Glycolysis / Gluconeogenesis	HXK1
Glycolysis / Gluconeogenesis	IRC15
Glycolysis / Gluconeogenesis	TDH3
Glycolysis / Gluconeogenesis	TDH2
Glycolysis / Gluconeogenesis	TDH1
Glycolysis / Gluconeogenesis	ACS1
Glycolysis / Gluconeogenesis	ALD6
Glycolysis / Gluconeogenesis	SFA1
Glycolysis / Gluconeogenesis	ALD4
Glycolysis / Gluconeogenesis	ALD5
Glycolysis / Gluconeogenesis	ALD2
Glycolysis / Gluconeogenesis	ALD3
Glycolysis / Gluconeogenesis	PDB1
Glycolysis / Gluconeogenesis	ENO1
Glycolysis / Gluconeogenesis	ENO2
Glycolysis / Gluconeogenesis	GPM2
Glycolysis / Gluconeogenesis	GPM1
Glycolysis / Gluconeogenesis	ADH6
Glycolysis / Gluconeogenesis	ADH7
Glycolysis / Gluconeogenesis	GPM3
Glycolysis / Gluconeogenesis	EMI2
Glycolysis / Gluconeogenesis	ADH4
Glycolysis / Gluconeogenesis	ADH5
Glycolysis / Gluconeogenesis	ADH2
Glycolysis / Gluconeogenesis	ADH3
Glycolysis / Gluconeogenesis	ADH1
Glycolysis / Gluconeogenesis	GAL10
Glycolysis / Gluconeogenesis	PFK2
Glycolysis / Gluconeogenesis	PGI1
Glycolysis / Gluconeogenesis	PGM2
Glycolysis / Gluconeogenesis	PFK1
Glycolysis / Gluconeogenesis	PGM1
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	MCD4
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	GPI17
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	GAA1
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	GPI16
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	GAB1
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	GPI19
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	GPI18
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	GPI13
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	GPI12
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	GWT1
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	GPI15
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	SPT14
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	GPI14
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	GPI2
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	PBN1
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	LAS21
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	GPI1
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	GPI11
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	BST1
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	GPI10
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	ERI1
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	GPI8
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	SMP3
Glyoxylate and dicarboxylate metabolism	AGX1
Glyoxylate and dicarboxylate metabolism	MDH2
Glyoxylate and dicarboxylate metabolism	MDH3
Glyoxylate and dicarboxylate metabolism	GLN1
Glyoxylate and dicarboxylate metabolism	GOR1
Glyoxylate and dicarboxylate metabolism	ERG10
Glyoxylate and dicarboxylate metabolism	IRC15
Glyoxylate and dicarboxylate metabolism	DAL7
Glyoxylate and dicarboxylate metabolism	MLS1
Glyoxylate and dicarboxylate metabolism	ACO1
Glyoxylate and dicarboxylate metabolism	SHM1
Glyoxylate and dicarboxylate metabolism	PCS60
Glyoxylate and dicarboxylate metabolism	BNA7
Glyoxylate and dicarboxylate metabolism	ACS2
Glyoxylate and dicarboxylate metabolism	SHM2
Glyoxylate and dicarboxylate metabolism	ACS1
Glyoxylate and dicarboxylate metabolism	FDH1
Glyoxylate and dicarboxylate metabolism	TDA10
Glyoxylate and dicarboxylate metabolism	CTT1
Glyoxylate and dicarboxylate metabolism	LPD1
Glyoxylate and dicarboxylate metabolism	GCV2
Glyoxylate and dicarboxylate metabolism	GCV1
Glyoxylate and dicarboxylate metabolism	GCV3
Glyoxylate and dicarboxylate metabolism	MDH1
Glyoxylate and dicarboxylate metabolism	CIT3
Glyoxylate and dicarboxylate metabolism	CIT2
Glyoxylate and dicarboxylate metabolism	ICL1
Glyoxylate and dicarboxylate metabolism	CIT1
Glyoxylate and dicarboxylate metabolism	ICL2
Glyoxylate and dicarboxylate metabolism	CTA1
Hippo signaling pathway	MOB1
Hippo signaling pathway	CDC15
Hippo signaling pathway	DBF2
Hippo signaling pathway	YCK1
Hippo signaling pathway	NUD1
Hippo signaling pathway	STE20
Hippo signaling pathway	YCK2
Hippo signaling pathway	TEC1
Histidine metabolism	HIS4
Histidine metabolism	HIS3
Histidine metabolism	HIS6
Histidine metabolism	ALD6
Histidine metabolism	HIS5
Histidine metabolism	ALD4
Histidine metabolism	ALD5
Histidine metabolism	HIS7
Histidine metabolism	ALD2
Histidine metabolism	ALD3
Histidine metabolism	HFD1
Histidine metabolism	HIS2
Histidine metabolism	HIS1
Homologous recombination	POL3
Homologous recombination	RFA2
Homologous recombination	RFA1
Homologous recombination	POL31
Homologous recombination	POL32
Homologous recombination	MUS81
Homologous recombination	RAD50
Homologous recombination	XRS2
Homologous recombination	RAD54
Homologous recombination	RAD51
Homologous recombination	TEL1
Homologous recombination	SEM1
Homologous recombination	RAD52
Homologous recombination	RAD57
Homologous recombination	RAD55
Homologous recombination	SGS1
Homologous recombination	RDH54
Homologous recombination	TOP3
Homologous recombination	RAD59
Homologous recombination	MRE11
Inositol phosphate metabolism	INP54
Inositol phosphate metabolism	INP53
Inositol phosphate metabolism	MSS4
Inositol phosphate metabolism	TPI1
Inositol phosphate metabolism	INO1
Inositol phosphate metabolism	STT4
Inositol phosphate metabolism	FAB1
Inositol phosphate metabolism	INM1
Inositol phosphate metabolism	INM2
Inositol phosphate metabolism	PLC1
Inositol phosphate metabolism	IPK1
Inositol phosphate metabolism	INP52
Inositol phosphate metabolism	FIG4
Inositol phosphate metabolism	INP51
Inositol phosphate metabolism	PIS1
Inositol phosphate metabolism	ARG82
Inositol phosphate metabolism	VPS34
Inositol phosphate metabolism	LSB6
Inositol phosphate metabolism	PIK1
Inositol phosphate metabolism	YMR1
Inositol phosphate metabolism	SAC1
Longevity regulating pathway	MRP1
Longevity regulating pathway	TPK3
Longevity regulating pathway	TPK2
Longevity regulating pathway	GPR1
Longevity regulating pathway	TPK1
Longevity regulating pathway	SCH9
Longevity regulating pathway	SSB2
Longevity regulating pathway	MSN2
Longevity regulating pathway	SNF4
Longevity regulating pathway	PNC1
Longevity regulating pathway	SOD1
Longevity regulating pathway	SOD2
Longevity regulating pathway	MSN4
Longevity regulating pathway	HSP104
Longevity regulating pathway	RIM15
Longevity regulating pathway	TOR2
Longevity regulating pathway	GIS1
Longevity regulating pathway	TOR1
Longevity regulating pathway	RSM26
Longevity regulating pathway	HST1
Longevity regulating pathway	HST3
Longevity regulating pathway	HST2
Longevity regulating pathway	SSA1
Longevity regulating pathway	RAS1
Longevity regulating pathway	RPD3
Longevity regulating pathway	RAS2
Longevity regulating pathway	CYR1
Longevity regulating pathway	HST4
Longevity regulating pathway	KOG1
Longevity regulating pathway	CTT1
Longevity regulating pathway	SIR2
Longevity regulating pathway	SSA4
Longevity regulating pathway	SSA2
Longevity regulating pathway	SSA3
Longevity regulating pathway	ATG5
Longevity regulating pathway	CTA1
Lysine biosynthesis	LYS9
Lysine biosynthesis	ARO8
Lysine biosynthesis	LYS2
Lysine biosynthesis	LYS1
Lysine biosynthesis	HOM2
Lysine biosynthesis	ACO2
Lysine biosynthesis	LYS20
Lysine biosynthesis	LYS21
Lysine biosynthesis	HOM3
Lysine biosynthesis	HOM6
Lysine biosynthesis	LYS4
Lysine biosynthesis	LYS12
Lysine degradation	ALD6
Lysine degradation	ALD4
Lysine degradation	ALD5
Lysine degradation	UGA2
Lysine degradation	DOT1
Lysine degradation	SET1
Lysine degradation	SET2
Lysine degradation	LYS1
Lysine degradation	ERG10
Lysine degradation	KGD2
Lysine degradation	HFD1
Lysine degradation	CTM1
Lysine degradation	LYS9
Lysine degradation	LPD1
Lysine degradation	IRC15
MAPK signaling pathway	RGA1
MAPK signaling pathway	RGA2
MAPK signaling pathway	STE50
MAPK signaling pathway	MSS11
MAPK signaling pathway	MID2
MAPK signaling pathway	DIG1
MAPK signaling pathway	DIG2
MAPK signaling pathway	HOG1
MAPK signaling pathway	GPD1
MAPK signaling pathway	GPD2
MAPK signaling pathway	FAR1
MAPK signaling pathway	SKO1
MAPK signaling pathway	PTP2
MAPK signaling pathway	RSP5
MAPK signaling pathway	PTP3
MAPK signaling pathway	SLG1
MAPK signaling pathway	SWE1
MAPK signaling pathway	KDX1
MAPK signaling pathway	SSK22
MAPK signaling pathway	CDC24
MAPK signaling pathway	MSG5
MAPK signaling pathway	SDP1
MAPK signaling pathway	BEM3
MAPK signaling pathway	CDC28
MAPK signaling pathway	BEM2
MAPK signaling pathway	BEM1
MAPK signaling pathway	CLA4
MAPK signaling pathway	FUS1
MAPK signaling pathway	MTL1
MAPK signaling pathway	FUS3
MAPK signaling pathway	MSB2
MAPK signaling pathway	PTC1
MAPK signaling pathway	PAF1
MAPK signaling pathway	PKH3
MAPK signaling pathway	PKH2
MAPK signaling pathway	WSC2
MAPK signaling pathway	WSC3
MAPK signaling pathway	CLB6
MAPK signaling pathway	CLB5
MAPK signaling pathway	SIC1
MAPK signaling pathway	TUP1
MAPK signaling pathway	PKH1
MAPK signaling pathway	CLB2
MAPK signaling pathway	SAC7
MAPK signaling pathway	CLB1
MAPK signaling pathway	SPA2
MAPK signaling pathway	BNI1
MAPK signaling pathway	CYC8
MAPK signaling pathway	BCK1
MAPK signaling pathway	RLM1
MAPK signaling pathway	GSC2
MAPK signaling pathway	CTA1
MAPK signaling pathway	MIH1
MAPK signaling pathway	ROM1
MAPK signaling pathway	STT4
MAPK signaling pathway	ROM2
MAPK signaling pathway	BMH2
MAPK signaling pathway	BMH1
MAPK signaling pathway	PKC1
MAPK signaling pathway	BNR1
MAPK signaling pathway	OPY2
MAPK signaling pathway	YPS1
MAPK signaling pathway	MCM1
MAPK signaling pathway	HKR1
MAPK signaling pathway	MKK2
MAPK signaling pathway	MSS4
MAPK signaling pathway	BAR1
MAPK signaling pathway	MKK1
MAPK signaling pathway	SWI4
MAPK signaling pathway	MFA1
MAPK signaling pathway	MFA2
MAPK signaling pathway	SLT2
MAPK signaling pathway	RHO1
MAPK signaling pathway	CTT1
MAPK signaling pathway	MKC7
MAPK signaling pathway	FLO11
MAPK signaling pathway	SWI6
MAPK signaling pathway	TEC1
MAPK signaling pathway	TUS1
MAPK signaling pathway	FKS1
MAPK signaling pathway	FKS3
MAPK signaling pathway	YCK1
MAPK signaling pathway	YPD1
MAPK signaling pathway	MSN2
MAPK signaling pathway	MSN4
MAPK signaling pathway	CDC42
MAPK signaling pathway	SHO1
MAPK signaling pathway	STE20
MAPK signaling pathway	YCK2
MAPK signaling pathway	MF(ALPHA)1
MAPK signaling pathway	SKM1
MAPK signaling pathway	MF(ALPHA)2
MAPK signaling pathway	SSK2
MAPK signaling pathway	HOT1
